"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","VULNERABLE_ROAD_USER_COUNT","VULNERABLE_ROAD_USER_DEATH_COUNT","VULNERABLE_ROAD_USER_SER_INJ_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021015830","1914","3","0","0","0","0","0","0","0","0","5","0","","67","2","2021","6","40.043381","-75.177819","1914","6","0","0","0","0","0","0","0","0","","0","0","0","19","3","0","N","0","2","40 02:36.170","5","0","75 10:40.150","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","6.0","200.0","2","N","N","N","0","","0","0","0","0","0","Y","1914","3","0","0","0","0","0","0","2","0","3","0","0","0","3","98","","N","","","","","","","","","",""
"2021030542","0125","1","0","0","0","0","0","0","0","0","5","0","","67","4","2021","6","40.00751","-75.201115","0123","6","0","0","0","0","0","0","1","0","","0","0","0","1","3","4","N","0","1","40 00:27.037","3","0","75 12:04.014","3","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1.0","140.0","1","N","N","N","0","","4","0","1","0","0","N","117","2","4","0","0","0","0","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021017931","2330","1","0","0","0","0","0","0","0","0","4","0","","67","2","2021","5","40.008649","-75.098428","2338","6","0","0","0","0","0","0","0","0","","0","0","0","22","3","0","","1","0","40 00:31.138","","0","75 05:54.339","9","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","7","N","N","N","0","","0","0","1","3","2","","2230","3","0","0","0","0","0","1","2","1","3","0","0","0","10","09","","N","","","","","","","","","",""
"2021015427","2014","2","0","0","0","0","0","0","0","0","6","0","","67","2","2021","7","39.965125","-75.217475","2013","6","0","0","0","0","0","1","0","0","","0","0","0","20","3","0","N","0","0","39 57:54.450","","0","75 13:02.910","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6.0","","2","N","N","N","0","","0","0","4","0","0","","2013","7","0","0","0","0","0","0","2","1","7","0","0","0","6","06","","N","","","","","","","","","",""
"2021017189","0850","0","0","0","0","0","0","0","0","0","6","0","","67","2","2021","6","40.067825","-75.194661","0836","6","0","0","0","0","0","1","0","0","","0","0","0","7","1","0","N","0","0","40 04:04.170","","0","75 11:40.780","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","2","N","N","N","0","","0","0","2","0","0","","728","2","0","0","0","0","0","0","2","0","2","0","0","0","9","04","","N","","","","","","","","","",""
"2021016352","2240","1","0","0","0","0","0","0","0","0","4","0","","67","2","2021","1","39.94672","-75.162624","2240","6","0","0","0","0","0","0","0","0","","0","0","0","22","3","0","","1","0","39 56:48.192","","0","75 09:45.448","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","1","3","2","","2225","2","0","0","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021016579","0622","1","0","0","0","0","0","0","0","0","7","0","","67","2","2021","7","40.031761","-75.021198","0615","6","0","0","0","0","0","0","0","0","","0","0","0","6","3","0","N","0","1","40 01:54.339","1","3","75 01:16.311","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","645.0","1","N","N","N","0","","0","0","0","0","0","N","613","1","0","0","0","0","0","0","2","0","1","0","0","0","3","03","","N","","","","","","","","","",""
"2021031883","2137","1","0","0","0","0","0","0","0","0","1","0","","67","4","2021","2","39.958764","-75.16889","2132","6","0","0","0","1","0","0","0","0","","0","0","0","21","3","0","N","0","1","39 57:31.549","4","0","75 10:08.005","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","1245.0","1","N","N","N","0","","0","0","1","0","0","N","2125","2","0","0","0","0","0","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021031893","1518","1","0","0","0","0","0","0","0","0","1","0","","67","4","2021","3","39.919815","-75.148181","1512","6","0","0","0","0","0","0","0","0","","0","0","0","15","1","1","N","0","1","39 55:11.335","2","0","75 08:53.452","8","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","2.0","1600.0","1","N","N","N","0","","0","0","1","0","0","N","1510","2","1","0","0","0","1","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021042072","2316","1","0","0","0","0","0","0","0","0","8","0","","67","5","2021","1","40.126614","-75.014399","2311","6","0","0","0","0","0","0","0","0","","1","0","0","22","3","0","N","0","0","40 07:35.812","","0","75 00:51.835","1","0","0","0","67301","1","1","0","N","1","1","0","2","67301","0","2","1.0","","1","N","N","N","0","0","0","0","0","0","0","","2255","2","0","0","0","0","0","0","2","0","1","1","1","0","3","03","","N","","","","","","","","","",""
